App,ID,Author,Date,Rating,Helpful Count,Review,,,,
,73,Pierre de Man,2-Aug-20,4,104," Nice app and handy for me. But I miss one thing. (Or maybe I didn't figure it out yet.) On the desktop, I use the shift+enter to go to the next line in the same block. I am used to starting a new sentence on a new line. In the app you only can use the enter. But with this you go to a new block. Mayb...Full ReviewNice app and handy for me. But I miss one thing. (Or maybe I didn't figure it out yet.) On the desktop, I use the shift+enter to go to the next line in the same block. I am used to starting a new sentence on a new line. In the app you only can use the enter. But with this you go to a new block. Maybe you can explain how and if the shift+enter can/will work in the app or else I hope you will add this option soon. �",,,,
,74,perfectvelvet,25-Jul-20,2,102," I want to give it more stars because the site layout is nice and efficient, but editing posts is awful. The lag is absolutely unbearable. Trying to add a couple of characters takes 5-10 seconds to show up on screen. I've written part of a sentence and it's taken 30+ seconds to post them. Deleting th...Full ReviewI want to give it more stars because the site layout is nice and efficient, but editing posts is awful. The lag is absolutely unbearable. Trying to add a couple of characters takes 5-10 seconds to show up on screen. I've written part of a sentence and it's taken 30+ seconds to post them. Deleting them is even worse! I'm not even a fast typer on the text keyboard. It would be faster to handwrite everything at this point. Stick to the browser version for editing if this is why you want the app.",,,,
,75,Rodrigo Alonso Daza Jiméne,10-Sep-20,1,1," Terrible: first it didn't recognize our site and its users. Now at least it opens, but stops drastically the site trying to edit it, and doesn't show any post in the end! It has been, for us and our site, a very bad decision and an app to definitively avoid. / Terrible: 1ro no reconocía nuestro siti...Full ReviewTerrible: first it didn't recognize our site and its users. Now at least it opens, but stops drastically the site trying to edit it, and doesn't show any post in the end! It has been, for us and our site, a very bad decision and an app to definitively avoid. / Terrible: 1ro no reconocía nuestro sitio ni sus usuarios. Ahora al menos lo abre, pero detiene el sitio en seco si se le trata de editar y, al final, ¡no muestra ninguna entrada! Ha sido una mala decisión instalarla y es una app a evi",,,,
,76,Sam Din,28-Sep-20,5,0," Excellent! I'm able to create content with the classic editor, that is all I ever wanted with this app.",,,,
,77,Blogging Techz,3-Oct-20,4,0, I think WordPress Is The Best Blog Creating Website That I have ever Used. And This is so great to know that there is also app available for WordPress.,,,,
,78,Interesting Topics,27-Jul-20,4,60," Nice app. But some demerits. 1. We can't add documents(pdf files) in our site through this app. 2. We can't change the color of any text in our post or page through this app. 3. And many functions like slideshow and many more are not available in this app. For all this function we have to do through...Full ReviewNice app. But some demerits. 1. We can't add documents(pdf files) in our site through this app. 2. We can't change the color of any text in our post or page through this app. 3. And many functions like slideshow and many more are not available in this app. For all this function we have to do through wordpress site. So, please available this in app too. Thank you.",,,,
,79,Alan Sanderson,3-Sep-20,3,14," The new block editor has had a terrible impact on app performance. I have an older phone, and the app is almost intolerably slow, especially when switching between blocks. The classic editor also had performance problems on my phone, but only when I was working on a post with more than about 2000 wo...Full ReviewThe new block editor has had a terrible impact on app performance. I have an older phone, and the app is almost intolerably slow, especially when switching between blocks. The classic editor also had performance problems on my phone, but only when I was working on a post with more than about 2000 words. Importantly, I do not notice intolerable slowness with any other app. Other functions of the app are quite useful and convenient.",,,,
,80,Valerie Ewing,22-Aug-20,3,115, I like the app and it works well for me to set things up . I have published an about me section and a blog post. It shows up on my end but when I try to view it externally it just says that a new wordpress site is coming. I just wish that when it's published on my end that it also publishes online. ...Full ReviewI like the app and it works well for me to set things up . I have published an about me section and a blog post. It shows up on my end but when I try to view it externally it just says that a new wordpress site is coming. I just wish that when it's published on my end that it also publishes online. Now I have to figure out how to get my blog online so others can view it too.,,,,
,81,Kewal,30-Sep-20,3,0, Im facing some loading issues and lags a lot I've faced lots of glitches while using this app and images don't load sometimes when it's used on WiFi,,,,
,82,Susan Slade,8-Aug-20,2,62," As I have a WordPress blog, I have to use this app. It goes black, it freezes up for as long as 30 minutes. I have to install it, and reinstall it again. Updated 2.22.2020 The only way this app works well, is to uninstall, then install it again on a regular basis. Update. Still having to uninstall a...Full ReviewAs I have a WordPress blog, I have to use this app. It goes black, it freezes up for as long as 30 minutes. I have to install it, and reinstall it again. Updated 2.22.2020 The only way this app works well, is to uninstall, then install it again on a regular basis. Update. Still having to uninstall and install it every week.",,,,
,83,Joshua Dunyo,19-Sep-20,5,0, Solid design and seamless integration to my backend! I often enjoy writing blogs directly in the app!,,,,
,84,Jaime Alvarez,12-Aug-20,5,74," The app has allowed me to do so much on the go. I'm able to see stats, write posts, and even publish! Sometimes throughout my day I have a thought that I want to quickly write about so the app allows me to further my blog article development. I definitely appreciate the app allowing me to do things ...Full ReviewThe app has allowed me to do so much on the go. I'm able to see stats, write posts, and even publish! Sometimes throughout my day I have a thought that I want to quickly write about so the app allows me to further my blog article development. I definitely appreciate the app allowing me to do things when I'm not home with my computer.",,,,
,85,Farhan Khan,25-Sep-20,5,0, I love this app owing to the reason that I can also upload a post while being offline with no net connection. They publish the post when I get online from anyone source. This is the amazing feature which is not even available in pc WordPress or anywhere.,,,,
